"sha256:f4a670ac65b68f8757aea863ac0de19e627c0ea57165abad8094eae512ca7dad
",dh157_research_images_dec_2022_apache_nifi-1_19_0,dh157_research_images_dec_2022_apache_nifi-registry-1_19_0,dh157_research_images_dec_2022_lacework_datacollector-6_2_0,dh157_research_images_dec_2022_photoprism_photoprism-221118-jammy,dh157_research_images_dec_2022_rancher_hyperkube-v1_22_17-rancher1,,,,,,,,,,,,,,,
"sha256:7ea4455e747ead87d6cc1c4efaf3a79530a931a0856a9f9ce9ac2d8d45bd3c28
",dh157_research_images_dec_2022_apache_tika-2_6_0_1,dh157_research_images_dec_2022_cimg_node-18_12_1,dh157_research_images_dec_2022_cimg_python-3_10_9,dh157_research_images_dec_2022_cimg_ruby-3_1_3,,,,,,,,,,,,,,,,
"sha256:6515074984c6f8bb1b8a9962c8fb5f310fc85e70b04c88442a3939c026dbfad3
",dh157_research_images_dec_2022_atlassian_bitbucket-server-8_1_0,dh157_research_images_dec_2022_atlassian_confluence-server-7_19_4,dh157_research_images_dec_2022_cimg_base-2023_01,dh157_research_images_dec_2022_eclipse-temurin-8,dh157_research_images_dec_2022_flink-1_15_3,dh157_research_images_dec_2022_gradle-7_6,dh157_research_images_dec_2022_grafana_agent-main-d62869d,dh157_research_images_dec_2022_groovy-4_0_7,dh157_research_images_dec_2022_ibm-semeru-runtimes-open-8-jdk,dh157_research_images_dec_2022_ibm-semeru-runtimes-open-8-jre,dh157_research_images_dec_2022_lightstreamer-7_3_2,dh157_research_images_dec_2022_mariadb-10_9_4,dh157_research_images_dec_2022_maven-3_8_6,dh157_research_images_dec_2022_neurodebian-nd22_04,dh157_research_images_dec_2022_orientdb-3_2_13,dh157_research_images_dec_2022_storm-2_4_0-temurin,dh157_research_images_dec_2022_swift-5_7_2,dh157_research_images_dec_2022_tomcat-9_0_70,dh157_research_images_dec_2022_xwiki-14_4_7,dh157_research_images_dec_2022_zookeeper-3_7_1-temurin
"sha256:af7ed92504ae4c20128a0f01048d41d467fef5c795c38d0defdb998a187ed1d4
",dh157_research_images_dec_2022_atlassian_default-image-3,,,,,,,,,,,,,,,,,,,
"sha256:45bbe3d22998589317c7f6c4dd591475423bb37ca9b922529c5878653483b18d
",dh157_research_images_dec_2022_bonita-7_13_0,dh157_research_images_dec_2022_ibmjava-8,dh157_research_images_dec_2022_php-zendserver-2021_0,dh157_research_images_dec_2022_websphere-liberty-full,,,,,,,,,,,,,,,,
"sha256:ecf5288d620ad970e80c27bee1431239ee07880bb6a34c2d88ebfcae08b3fbdc
",dh157_research_images_dec_2022_buildpack-deps-23_04,,,,,,,,,,,,,,,,,,,
"sha256:0002c93bdb3704dd9e36ce5153ef637f84de253015f3ee330468dccdeacad60b
",dh157_research_images_dec_2022_cassandra-4_1_0,dh157_research_images_dec_2022_convertigo-8_1_0,dh157_research_images_dec_2022_couchbase-community-7_1_1,dh157_research_images_dec_2022_gazebo-libgazebo11,dh157_research_images_dec_2022_geonetwork-4_2_2,dh157_research_images_dec_2022_jetty-11_0_13,dh157_research_images_dec_2022_jruby-9_4_0_0,dh157_research_images_dec_2022_mongo-5_0_14,dh157_research_images_dec_2022_open-liberty-full,dh157_research_images_dec_2022_rabbitmq-3_9_27,dh157_research_images_dec_2022_ros-noetic,dh157_research_images_dec_2022_sapmachine-19_0_1,dh157_research_images_dec_2022_silverpeas-6_3,dh157_research_images_dec_2022_solr-9_1_0,,,,,,
"sha256:36ffdceb4c77bf34325fb695e64ea447f688797f2f1e3af224c29593310578d2
",dh157_research_images_dec_2022_circleci_mongo-5_0_6,,,,,,,,,,,,,,,,,,,
"sha256:660f8f6e3122f93db88b5df8969b18cde9aa062eedbb3da7967f88d128314210
",dh157_research_images_dec_2022_datadog_agent-6,,,,,,,,,,,,,,,,,,,
"sha256:7b9597f4aa811c18551c090608ee883579b894ecbc510edfa57e186ef2f293b8
",dh157_research_images_dec_2022_datadog_cluster-agent-7_41_1,,,,,,,,,,,,,,,,,,,
